,job title,company,region,skills required,is remote?,is fresher?
338,Data analyst,Atlassian,Remote in Bengaluru,,Yes,NA
339,Data analyst,Xpheno,Mumbai, Sql ,No,No
340,Data analyst,S&P Global,Gurgaon,,No,NA
341,Data analyst,Prescient Healthcare Group,Gurgaon,,No,NA
342,Data analyst,Novisync,Remote in India,,Yes,NA
343,Data analyst,Silver Touch Technologies Ltd.,Mumbai,"Data Structure, Database",No,NA
344,Data analyst,HyreFox Consultants,Jaipur,Database,No,NA
345,Data analyst,GyanTU,India,"Data Mining, Database",No,Yes
346,Data analyst,Micron,Gujarat,Cloud,No,No
347,Data analyst,Mann Hospitality LLP,Bengaluru,,No,Yes
348,Data analyst,JPMorgan Chase & Co,Mumbai,,No,NA
349,Data analyst,fluidonomics Solutions,Remote in Pune,,Yes,NA
350,Data analyst,Goldman Sachs,Bengaluru,Big Data,No,NA
351,Data analyst,Merilytics,Hyderabad,Big Data,No,NA
352,Data analyst,JPMorgan Chase & Co,Bengaluru,,No,NA
353,Data analyst,Accenture,Hyderabad,,No,NA
354,Data analyst,Borek Solutions,Vadodara,"Stat, Excel",No,NA
355,Data analyst,Lowe's,Bengaluru,,No,Yes
356,Data analyst,Innovature Software Labs,Kochi,Database,No,No
357,Data analyst,Locus IT Services,Bengaluru,,No,NA
358,Data analyst,Deloitte,Hyderabad,,No,NA
359,Data analyst,Siemens Gamesa Renewable Energy,Bengaluru,,No,NA
360,Data analyst,JLL,Gurgaon,,No,Yes
361,Data analyst,Gemini Exports,Mumbai,,No,No
362,Data analyst,JPMorgan Chase & Co,Mumbai,Machine Learning,No,NA
363,Data analyst,CBRE,Hyderabad,Data Structure,No,Yes
364,Data analyst,Cyient,Hyderabad,,No,NA
365,Data analyst,Vonage,Remote in Bengaluru," Sql , Excel",Yes,No
366,Data analyst,Decision Point,Gurgaon,,No,No
367,Data analyst,iPrime Services,Noida,,No,NA
368,Data analyst,Revvity,Remote in India,,Yes,Yes
369,Data analyst,Hydro,Jaipur,"Data Visualization, Excel",No,NA
370,Data analyst,Accenture,Bengaluru,,No,NA
371,Data analyst,Niralee Technologies,Hyderabad,,No,No
372,Data analyst,Ismile Technologies,Bengaluru,,No,No
373,Data analyst,Scaler Academy,Bengaluru,,No,NA
374,Data analyst,The Scalers,Bengaluru,,No,Yes
375,Data analyst,Zensar Technologies,Pune,,No,NA
376,Data analyst,LanceTech Solutions Pvt Ltd,Noida,,No,No
377,Data analyst,OPALFORCE.COM,Bengaluru,,No,NA
378,Data analyst,House of Shipping,Chennai,,No,NA
379,Data analyst,Dell Technologies,Hybrid remote in Bengaluru,"Machine Learning, Stat",Yes,Yes
380,Data analyst,Aarohiinfo fi management limited,Pune,,No,NA
381,Data analyst,Nexware Technologies,Remote,Cloud,Yes,No
382,Data analyst,Accenture,Bengaluru,,No,Yes
383,Data analyst,Nielsen,Remote in Mumbai,Database,Yes,NA
384,Data analyst,Adobe,Noida,Big Data,No,NA
385,Data analyst,GUS Education,Hyderabad,,No,No
386,Data analyst,Trigya Innovations India Pvt. Ltd.,New Delhi,,No,NA
387,Data analyst,Appriffy - Digital IT Hub Private Limited,Bengaluru,Excel,No,NA
388,Data analyst,Secuodsoft Technologies pvt ltd,Bhubaneshwar,,No,NA
389,Data analyst,Nihilent,Pune,,No,Yes
390,Data analyst,JPMorgan Chase & Co,Mumbai,Excel,No,NA
391,Data analyst,Oracle,India,,No,NA
392,Data analyst,Sciative Solutions,Vashi,Excel,No,NA
393,Data analyst,mPower Software Services,Bengaluru,,No,No
394,Data analyst,Cityinfo Services,Bengaluru,,No,NA
395,Data analyst,Accenture,Bengaluru,,No,NA
396,Data analyst,Priceline.com,Hybrid remote in Mumbai,Cloud,Yes,Yes
397,Data analyst,Siemens,Bengaluru,,No,NA
398,Data analyst,Citi,India,,No,NA
399,Data analyst,Boston Consulting Group,New Delhi,"Data Visualization, Dashboard, Tableau",No,Yes
400,Data analyst,AHRC Pvt Ltd,Ahmedabad,Excel,No,NA
401,Data analyst,EY,India,Excel,No,NA
402,Data analyst,Grant Thornton INDUS,Remote in Bengaluru,Excel,Yes,NA
403,Data analyst,Deloitte,Bengaluru,,No,NA
404,Data analyst,It Resource Hunter,Gurgaon,Stat,No,NA
405,Data analyst,Blue Yonder,Bengaluru,,No,Yes
406,Data analyst,Getronics,Bengaluru,,No,NA
407,Data analyst,Genpact,Bengaluru,,No,NA
408,Data analyst,Boston Consulting Group,New Delhi,Database,No,Yes
409,Data analyst,Aspiration,Navi Mumbai,,No,NA
410,Data analyst,KPMG,Gurgaon,,No,NA
411,Data analyst,4CRisk.ai Software,Bengaluru,,No,NA
412,Data analyst,Indegene,Bengaluru,,No,NA
413,Data analyst,Rightzone Resource Solutions Pvt Ltd,Nagercoil,Database,No,NA
414,Data analyst,Sun Life,Gurgaon,,No,NA
415,Data analyst,iDesign.Market,Delhi,,No,NA
416,Data analyst,Hotstar,Bengaluru,"Python, Data Visualization, Stat, Excel",No,NA
417,Data analyst,BK Talent Lease Consulting,New Delhi,Data Mining,No,No
418,Data analyst,JPMorgan Chase & Co,Mumbai,,No,Yes
419,Data analyst,Cendyn,Hybrid remote in Gurgaon,,Yes,NA
420,Data analyst,Kwalee,Hybrid remote in Bengaluru,,Yes,Yes
421,Data analyst,Pivotree,"+2 locations
Remote",Stat,Yes,NA
422,Data analyst,Acceldata,Hybrid remote in Bengaluru,,Yes,NA
